,attack,health,mana,name,rarity,desc_cut
19,1,1,1,느조스의 일등항해사,1,전투의 함성: 13 녹슨 갈고리를 장착합니다.
20,1,1,1,느조스의 촉수,1,죽음의 메아리:모든 하수인에게피해를 1 줍니다.
21,2,2,3,느조스의 피조물,1,죽음의 메아리:내 하수인들에게 +1+1을 부여합니다.
22,6,8,7,늪지이끼괴물,1,도발
23,3,2,4,독한 마음의 자릴,5,전투의 함성과죽음의 메아리:무작위 독극물 카드 1장을내 손으로 가져옵니다.
24,3,6,4,두건 쓴 수행사제,1,캐릭터가 치유될 때마다 내 크툰에게 +1+1을 부여합니다.
25,3,1,2,뒤틀린 늑대인간,1,은신
26,6,5,7,말코록,5,전투의 함성: 무작위 무기를 장착합니다.
27,2,1,2,맹독비늘 바다사냥꾼,1,전투의 함성: 도발 능력이 있는 11 수액을 하나 소환합니다.
28,4,2,3,배신당한 사육사,3,전투의 함성: 내 손에 있는 모든 죽음의 메아리 하수인에게 +1+1을 부여합니다.
29,1,1,1,변신수 제루스,5,이 하수인은 내 손에 있으면 내 턴이 시작될 때마다 무작위 하수인으로 변신합니다.
30,3,5,4,변종 광전사,1,격노: 공격력 +2
31,4,3,4,변화무쌍한 망령,3,죽음의 메아리: 상대편의 덱에서 카드를 1장 복사하여 내 손으로 가져옵니다.
32,3,4,3,붉은해적단 이교도,3,"전투의 함성: 내 전장에 다른 해적이 있으면, 내 무기에 +1+1을 부여합니다."
33,2,6,4,블러드후프 용사,1,도발격노: 공격력 +3
34,2,8,6,비늘 덮인 악몽,4,"내 턴이 시작될 때,이 하수인은 공격력이 2배가 됩니다."
35,2,4,4,비밀을 삼키는 자,3,전투의 함성: 적의 모든 비밀을 없앱니다. 없앤 비밀 하나당 +1+1을 얻습니다.
36,8,8,8,빛의 군주 라그나로스,5,"내 턴이 끝날 때,피해를 받은 아군 캐릭터 하나의 생명력을 8 회복시킵니다."
37,5,5,6,사자 볼라즈,5,전투의 함성: 내 다른 하수인들을 복사하여 11 하수인으로 소환합니다.
38,0,7,5,살아남은 파멸의 예언자,4,"내 턴이 시작될 때,이 하수인의 공격력을 7로 만듭니다."
39,3,3,4,수렁의 수호자,3,선택 
40,2,4,3,스멀거리는 촉수,1,도발
41,7,6,6,스케람 이교도,3,전투의 함성: 내 크툰에게 +2+2를 부여합니다. 
42,4,6,5,승천한 할라질,5,내가 주문으로 피해를줄 때마다 그만큼 내 영웅의 생명력을 회복시킵니다.
43,3,6,5,실성한 신봉자,4,"도발, 이 하수인이 피해를 입을 때마다 내 크툰에게 +1+1을 부여합니다. "
44,5,5,6,심연의 괴수,3,도발이번 게임에서 내가 소환한 토템 하나당 비용이 (1)씩 감소합니다.
45,4,6,7,쌍둥이 제왕 베클로어,5,"도발, 전투의 함성:내 크툰의 공격력이 10이상이면, 다른 쌍둥이제왕을 소환합니다."
46,1,3,1,썩은지느러미 심문관,4,전투의 함성: 내 영웅 능력이 '11 은빛 성기사단 멀록을 1마리 소환합니다.'로 바뀝니다.
47,8,6,8,아노말루스,5,죽음의 메아리:모든 하수인에게피해를 8 줍니다.
48,2,3,2,악의 신도,1,전투의 함성: 내 크툰에게 +2+2를 부여합니다. 
49,1,5,3,암용 광전사,1, 
50,3,3,3,어둠골 감시대원,3,내가 생명력이 1인 하수인을 소환할 때마다 그 하수인에게 천상의 보호막을 부여합니다.
51,3,2,2,어둠골 사서,3,전투의 함성: 무작위로카드를 1장 버립니다.죽음의 메아리: 카드를1장 뽑습니다.
52,4,5,5,어둠골 연금술사,1,전투의 함성:생명력을 5 회복시킵니다.
53,1,5,3,어둠골 원로원,1,"내 하수인이 소환된 후에, 공격력을 +1 얻습니다."
54,5,7,6,어둠에 물든 아라코아,1,"도발, 전투의 함성:내 크툰에게 +3+3을 부여합니다. "
55,3,6,5,어둠예언자,4,전투의 함성:아군 하수인 하나와 능력치를 바꿉니다.
56,2,4,2,어둠의 낚시꾼 내트,5,"상대편의 턴이시작될 때, 상대편이50"
57,2,2,2,언더시티 상인,3,죽음의 메아리: 
58,10,10,10,얼굴 없는 괴수,1, 
59,1,1,4,얼굴 없는 불가사의,4,"도발, 전투의 함성: 아군 하수인 하나의 공격력과 생명력을 복사합니다."
60,5,5,6,얼굴 없는 소환사,1,전투의 함성: 비용이 3인 하수인 하나를 무작위로 소환합니다.
61,7,7,4,얼굴 없는 화염투사,1,과부하: (2)
62,6,6,7,엘윈의 파멸 들창코,5,이 하수인은 피해를 받을 때마다 도발 능력이 있는 22 놀을 1마리 소환합니다.
63,1,1,1,열성적인 수습생,1,죽음의 메아리: 무작위 아군 하수인 하나에게 +1+1을 부여합니다.
64,3,2,2,영원한 감시자,4,전투의 함성: 과부하된내 마나 수정이 모두잠금 해제됩니다.
65,4,2,4,오염된 수집가,1,죽음의 메아리:카드를 1장 뽑습니다.
66,6,6,5,오작동하는 치유로봇,3,죽음의 메아리:적 영웅의 생명력을8 회복시킵니다.
67,5,4,5,요그사론의 종복,3,전투의 함성: 비용이 (5) 이하인 무작위 주문을 시전합니다. 
68,12,12,10,용족의 군주 데스윙,5,죽음의 메아리:내 손의 모든 용족을 전장에 놓습니다.
69,3,5,3,우두머리 실리시드,3,"이 하수인은 적을 공격할 수 없습니다. 이번 턴에 내 영웅이 공격했다면, 공격할 수 있습니다."
70,5,9,9,음험한 소고스,5,도발이 하수인은 주문이나 영웅 능력의 대상으로 지정되지 않습니다.
71,3,2,2,이교도 마법사,3,"주문 공격력 +1, 내 주문이시전된 후에, 내 크툰에게+1+1을 부여합니다."
72,4,4,5,이교도 약제사,1,전투의 함성:적 하수인 하나당내 영웅의 생명력을2 회복시킵니다.
73,1,2,1,이교도 칼잡이,1,연계: +1+1을 얻습니다.
74,2,1,1,이글거리는 박쥐,1,죽음의 메아리:무작위 적 하나에게피해를 1 줍니다.
75,5,6,5,저승의 안내인,1,아군 하수인이 죽을 때마다 내 크툰에게 +1+1을 부여합니다.
76,2,4,4,정신 나간 서리술사,3,"내 주문이 시전된 후에, 무작위 적 하나를 빙결 상태로 만듭니다."
77,1,1,1,지배당한 주민,1,죽음의 메아리:11 어둠의 야수를1마리 소환합니다.
78,4,5,4,진화의 대가,3,전투의 함성: 아군 하수인 하나를 비용이 (1) 높은 무작위 하수인으로 변신시킵니다.
79,2,2,4,진화한 코볼트,1,주문 공격력 +2
80,2,5,3,청소부구더기,1, 
81,7,7,7,초갈,5,전투의 함성: 이번 턴에 내가시전하는 다음 주문은마나 대신 생명력을비용으로 사용합니다.
82,6,6,10,크툰,5,전투의 함성: 모든 적에게 이 하수인의 공격력만큼의 피해를 무작위로 나누어 입힙니다.
83,2,1,3,크툰의 사도,3,전투의 함성: 피해를 2 줍니다. 내 크툰에게 +2+2를 부여합니다. 
84,4,4,9,크툰의 자객,4,전투의 함성: 하수인 하나를 처치합니다. 그 하수인의 공격력과 생명력을내 크툰에게 부여합니다.
85,4,2,4,크툰의 추종자,1,천상의 보호막전투의 함성: 내 크툰에게+2+2를 부여합니다.
86,4,5,4,클락시 호박술사,3,"전투의 함성: 내 크툰의 공격력이 10 이상이면, 생명력을 +5 얻습니다."
87,5,7,10,타락자 느조스,5,전투의 함성:이번 게임에서 죽은 내죽음의 메아리 하수인들을소환합니다.
88,2,3,6,타락한 예언자,3,전투의 함성: 멀록을 제외한 모든 하수인에게 피해를 2 줍니다.
89,7,9,8,파멸의 사절,3,전투의 함성: 내 크툰에게 +2+2를 부여합니다. 
90,3,5,4,판드랄 스태그헬름,5,내 선택 효과의두 능력이 모두 발동합니다.
91,1,4,4,한밤의 비룡,3,전투의 함성:내 손에 있는 카드 1장당공격력을 +1 얻습니다.
92,10,10,10,해방된 분노 이샤라즈,5,"내 턴이 끝날 때,내 덱에서 하수인 하나를 뽑아 전장에 놓습니다."
93,2,1,1,헌신적인 영웅,3,죽음의 메아리: 무작위 아군 하수인 하나에게 천상의 보호막을 부여합니다.
94,2,2,3,혼란스러운 드루이드,3,"내 하수인이 소환된 후에, 그 하수인에게 +1+1을 부여합니다."
95,4,1,2,황혼멧돼지,1, 
96,2,2,3,황혼의 불꽃소환사,1,전투의 함성:모든 적 하수인에게피해를 1 줍니다.
97,1,1,4,황혼의 소환사,4,죽음의 메아리:55 얼굴 없는 파괴자를 하나 소환합니다.
98,6,5,5,황혼의 암흑치유사,3,"전투의 함성: 내 크툰의 공격력이 10 이상이면, 내 영웅의 생명력을 10 회복시킵니다."
99,3,4,3,황혼의 장로,1,"내 턴이 끝날 때,내 크툰에게 +1+1을 부여합니다."
100,1,4,2,황혼의 풍수사,1,도발전투의 함성: 내 크툰에게 도발을 부여합니다. 
101,7,5,10,희망의 끝 요그사론,5,전투의 함성: 이번 게임에서 내가 주문을 시전한만큼 무작위 주문을 시전합니다. 
