attack,desc,health,mana,name,rarity
2,"right""><b>죽음의 메아리:</b><br/>이 하수인을 비용이 (6)인<br/>6/6 하수인으로 내 손에<br/>다시 가져옵니다.</",2,2,불사조 파이로스,5
1,"right""><b>죽음의 메아리:</b><br/>무작위 적 하수인 하나에게<br/>피해를 3 줍니다.</",1,2,불안정한 정령,1
2,"right""><b>전투의 함성:</b><br/>내 덱에서 <b>비밀</b> 카드를 1장 뽑습니다.</",3,2,비전학자,1
2,"right""><b>전투의 함성:</b> 적 하나를 <b>빙결</b> 상태로 만듭니다.</",1,1,빙하의 정령,1
3,"right""><b>전투의 함성:</b> 내 은빛 성기사단 신병들을 <b>적응</b>시킵니다.</",4,4,빛이 주입된 스테고돈,3
3,"right""><b>도발</b>, <b>죽음의 메아리:</b><br/><b>도발</b> 능력이 있는<br/>6/9 공포뿔 1마리를<br/>내 덱에 섞어 넣습니다.</",6,5,새끼 공포뿔,3
2,"right""><b>죽음의 메아리:</b> 4/3 랩터 1마리를 내 덱에 섞어 넣습니다.</",1,1,새끼 랩터,3
2,"right""><b>전투의 함성:</b> <b>적응</b></",2,3,새끼 테러닥스,1
8,"right""><b>은신</b></",2,6,서슬니 호랑이,1
5,"right""><b>도발</b><br/><b>전투의 함성:</b> <b>적응</b></",5,6,성난 공포뿔,1
5,"right""><b>전투의 함성:</b> 내가 이전 턴에 정령을 냈다면, '화염 분출' 카드 1장을 내 손으로<br/>가져옵니다.</",4,4,쇄도하는 증기 정령,3
2,"right""><b>전투의 함성:</b><br/>비밀 카드를<br/>1장 <b>발견</b>합니다.</",2,2,수문학자,1
1,"right""><b>죽음의 메아리:</b> 상대편의 덱에서 카드를 1장 복사하여 내 손으로 가져옵니다.</",1,1,수정 예언자,3
2,"right""><b>도발</b></",6,4,스테고돈,1
5,"right""><b>죽음의 메아리:</b> 씨앗으로 변합니다. 한 턴에 카드를 4장 이상 내면, 되살아납니다.</",3,4,시체꽃 셰라진,5
2,"right""><b>전투의 함성:</b><br/>아군 하수인 하나를 선택합니다. 그 하수인을 복사하여 1/1 하수인으로 소환합니다.</",3,3,신기루 소환사,3
5,"right""><b>전투의 함성:</b> <b>적응</b></",4,5,신록의 긴목공룡,1
3,"right""><b>연계:</b> 하수인 하나를 처치합니다.</",4,5,썩은가시 식인꽃,4
3,"right""><b>죽음의 메아리:</b><br/>1/1 랩터를 2마리 소환합니다.</",1,3,알서리꾼,1
1,"right""><b>연계:</b> 이번 턴에<br/>앞서 낸 카드 1장당<br/>+1/+1를 얻습니다.</",1,2,야금풀,4
2,"right""><b>전투의 함성:</b> 내 전장에 다른 하수인이 둘 이상 있으면, <b>적응</b>합니다.</",2,2,어린 라바사우루스,1
8,"right"">이 하수인은 공격한 후에 <b>빙결</b> 상태가 됩니다.</",8,6,얼어붙은 분쇄자,3
2,"right"">내 하수인들의 비용이 (2) 증가합니다.</",3,1,에메랄드 둥지 여왕,4
2,"right""><b>전투의 함성:</b> 각 영웅에게 피해를 1씩 줍니다.</",1,1,에메랄드 약탈자,1
2,"right"">이 하수인을 버릴 때마다<br/>+2/+2를 부여하고<br/>내 손으로 다시 가져옵니다.</",2,2,여왕 자바스,5
3,"right""><b>전투의 함성:</b> 카드를 1장 뽑습니다. 그 카드의 비용이 (5)가 됩니다.</",4,4,열의에 찬 정찰대원,4
3,"right"">내 하수인이 소환된<br/>후에, 그 하수인의<br/><b>죽음의 메아리</b>를<br/>발동시킵니다.</",4,4,영혼노래꾼 움브라,5
5,"right""><b>도발</b>, <b>전투의 함성:</b> 내가 이전 턴에 낸 정령 하나당 생명력을 +5 얻습니다.</",5,9,오즈룩,5
5,"right""><b>전투의 함성:</b> 내 멀록들을 <b>적응</b>시킵니다.</",4,4,온순한 메가사우루스,4
2,"right""><b>도발</b>, <b>전투의 함성:</b><br/>생명력을 3 회복시킵니다.</",4,3,온천의 수호정령,1
1,"right""><b>도발</b><br/><b>독성</b></",2,2,완강한 복족이,1
