attack,desc,health,mana,name,rarity
2,"right""><b>전투의 함성:</b> 이 하수인을 둘 복사하여 소환합니다.</",2,5,분신수,3
2,"right""><b>도발</b><br/><b>천상의 보호막</b><br/><b>생명력 흡수</b></",2,3,불꽃수염 번브리슬,5
2,"right"">내가 주문을 시전할 때마다 공격력을<br/>+2 얻습니다.</",6,5,붉은 마나 지룡,1
2,"right""><b>도발</b>, <b>전투의 함성:</b> 상대편이 손에서<br/>무작위 하수인 하나를 소환합니다.</",6,2,비겁한 밀고자,4
3,"right""><b>전투의 함성:</b> 아군 하수인<br/>하나에게 생명력을<br/>+3 부여합니다.</",4,3,비밀결사 갈퀴사제,1
2,"right""><b>전투의 함성:</b> 마법사,<br/>사제, 흑마법사 카드를<br/>1장 <b>발견</b>합니다.</",2,3,비밀결사 급사,3
5,"right""><b>전투의 함성:</b> 하수인 하나를 <b>침묵</b>시킵니다.</",5,5,비밀결사 노래도둑,1
6,"right"">내 턴이 끝날 때,<br/>무작위 악마 하나를<br/>내 손으로 가져옵니다.</",6,6,비밀결사 밀매자,4
5,"right"">이번 게임에서 내가 낸 <b>비밀</b> 하나당 비용이 (2)씩 감소합니다.</",5,6,비밀결사 수정배달부,3
3,"right""><b>전투의 함성:</b><br/>무작위 물약 카드를<br/>내 손으로 가져옵니다.</",3,4,비밀결사 약제사,1
2,"right""><b>전투의 함성:</b> 이번 턴에 내는 내 다음 <b>비밀</b>의 비용이 (0)이 됩니다.</",1,1,비밀결사 졸개,1
2,"right""><b>은신</b>, 이 하수인은 공격하여 다른 하수인을 처치할 때마다 내 덱에서 멀록을 2마리 소환합니다.</",4,5,비성 핀자,5
1,"right""><b>죽음의 메아리:</b><br/>이 하수인의 공격력이<br/>2 이상이면, 카드를<br/>1장 뽑습니다.</",2,1,비열한 거리 치안대장,4
3,"right""><b>도발</b>, <b>전투의 함성:</b><br/><b>비취 골렘</b>을 하나 소환합니다.</",6,6,비취 괴수,1
1,"right""><b>은신</b><br/><b>죽음의 메아리:</b><br/><b>비취 골렘</b>을 하나 소환합니다.</",1,2,비취 무리전사,1
5,"right""><b>전투의 함성:</b> 드루이드,<br/>도적, 주술사 카드를<br/>1장 <b>발견</b>합니다.</",3,5,비취 연꽃 요원,3
2,"right""><b>전투의 함성:</b><br/><b>비취 골렘</b>을 하나 소환합니다.</",3,4,비취 정령,1
5,"right""><b>전투의 함성:</b> <b>비취 골렘</b>을 하나 소환하고 <b>도발</b>을 부여합니다.</",5,7,비취 족장,1
5,"right"">이 하수인이 공격할 때마다 각 플레이어가 카드가 3장이 될 때까지 카드를 뽑습니다.</",4,4,상어 겐조,5
2,"right""><b>전투의 함성:</b> 내 손에 있는 무작위 멀록 1마리에게 +1/+1을 부여합니다.</",1,1,성난비늘 불량배,1
7,"right""><b>전투의 함성:</b> 내 덱에<br/>똑같은 카드가 하나도<br/>없다면, 내 손에 있는 모든<br/>악마를 소환합니다.</",9,9,속박 풀린 크룰,5
5,"right""><b>전투의 함성:</b> 내 덱에 똑같은<br/>카드가 하나도 없다면,<br/>이번 게임에서 내 영웅 능력의<br/>비용이 (0)이 됩니다.</",5,5,속박된 라자,5
5,"right""><b>전투의 함성:</b> 내 악마들에게 +1/+1을 부여합니다.</",4,4,수정술사,1
2,"right""><b>은신</b>, 이 하수인이 공격할 때마다 <",3,3,수집가 샤쿠,5
2,"right""><b>전투의 함성:</b><br/>이 하수인의 공격력만큼<br/>피해를 줍니다.</",4,4,습격용 코도,3
5,"right"">모든 대상이<br/>무작위로 선택됩니다.</",4,9,시장 노겐포저,5
1,"right"">내 영웅이 무기를 장착하고 있을 때 공격력을 +2 얻습니다.</",1,1,신참 해적단원,3
5,"right""><b>전투의 함성과<br/>죽음의 메아리:</b> <b>비취 골렘</b>을 하나 소환합니다.</",3,6,아이야 블랙포우,5
5,"right""><b>은신</b></",1,3,어둠 광전사,1
5,"right""><b>은신</b>, 이 하수인은 공격하여 다른 하수인을 처치할 때마다<br/><b>은신</b>을 얻습니다.</",5,5,연꽃 자객,4
3,"right"">이 하수인은 영웅을 공격한 후에, 비용이 6인 무작위 하수인으로 변신합니다.</",5,4,연꽃 환영술사,4
5,"right""><b>전투의 함성:</b> 내 손에 용족이 있으면, 상대편의 덱에서 카드를 1장 <b>발견</b>합니다.</",6,5,용기병 비밀요원,3
3,"right""><b>질풍</b></",5,5,우끼권의 대가,1
3,"right""><b>전투의 함성:</b> 아군 하수인 하나를 선택합니다.<br/>그 하수인을 복사하여<br/>내 덱에 섞어 넣습니다.</",4,3,이성을 잃은 영혼술사,4
7,"right""><b>선택 ",7,10,잊힌 왕 쿤,5
2,"right""><b>죽음의 메아리:</b><br/>이 하수인의 공격력만큼 1/1<br/>쥐를 소환합니다.</",2,3,쥐 떼,4
3,"right"">내 턴이 시작될 때, 자신에게 피해를<br/>2 줍니다.</",7,3,지옥 오크 영혼마귀,4
3,"right""><b>전투의 함성:</b><br/>생명력을 6 회복시킵니다.<br/><b>과부하:</b> (1)</",6,4,진위 물예언자,3
3,"right""><b>전투의 함성:</b> 내 전장에<br/>공격력이 5 이상인<br/>하수인이 있으면,<br/>+2/+2를 얻습니다.</",3,3,천신의 꿈술사,3
2,"right"">내 턴이 끝날 때,<br/>내 영웅의 생명력을<br/>1 회복시킵니다.</",3,2,친근한 바텐더,1
3,"right""><b>전투의 함성:</b> 내 덱에 똑같은 카드가 하나도 없다면, 원하는 주문을 직접 만듭니다.</",3,4,카자쿠스,5
4,"right""><b>전투의 함성:</b> 상대편의 손에 카드가 없으면, <b>돌진</b>을 얻습니다.</",4,4,타나리스 멧돼지단원,1
1,"right"">내 손에 이 카드가 있으면,<br/>내가 <b>전투의 함성</b> 능력이 있는<br/>하수인을 소환할 때마다<br/>+1/+1을 얻습니다.</",1,3,탐욕스러운 회계사,4
5,"right"">이 하수인이 다른 하수인을 공격하고 생존할 때마다 카드를 1장 뽑습니다.</",5,6,태엽돌이 강도로봇,4
4,"right""><b>전투의 함성:</b><br/>아군 야수 1마리에게<br/>+2/+2를 부여합니다.</",5,5,토깽 사부,3
4,"right""><b>전투의 함성:</b> 내 전장에 생명력이 6 이상인 하수인이 있으면, 카드를 2장 뽑습니다.</",4,6,투기장 전투 주최자,4
3,"right""><b>전투의 함성:</b> 내 손에 있는 무작위 야수 1마리에게 +1/+1을 부여합니다.</",2,2,트로그 야수조련사,3
4,"right"">상대편이 주문을 시전할 때마다 동전을 내 손으로 가져옵니다.</",6,5,트로그 절도범,4
2,"right""><b>전투의 함성:</b> 적 하수인<br/>하나에게 피해를 5 줍니다.<br/><b>죽음의 메아리:</b> 내 영웅에게<br/>피해를 5 줍니다.</",2,5,폭탄 분대,3
4,"right""><b>전투의 함성:</b><br/>상대편의 무기 내구도를 1 감소시킵니다.</",3,3,하수구 독성 수액,1
1,"right""><b>돌진</b><br/>내가 해적을 낸 후에,<br/>이 하수인을 내 덱에서<br/>소환합니다.</",1,1,해적 패치스,5
3,"right"">이 하수인은 다른<br/>하수인을 공격한 후에,<br/>적 영웅에게도 공격력만큼<br/>피해를 줍니다.</",7,5,핵주먹,5
4,"right"">아군 하수인이 죽을 때마다<br/>공격력을 +1 얻습니다.</",4,4,험상궂은 문지기,3
6,"right""><b>도발</b>, <b>전투의 함성:</b><br/>양옆의 하수인들에게 <b>천상의 보호막</b>을<br/>부여합니다.</",6,7,험악한 거리 경호원,3
1,"right""><b>전투의 함성:</b> 내 손에 있는 모든 하수인에게 +1/+1을 부여합니다.</",1,2,험악한 거리 만물상,1
2,"right""><b>전투의 함성:</b> 내 손에 있는 무작위 하수인 하나에게 +1/+1을 부여합니다.</",4,3,험악한 거리 밀수업자,1
3,"right""><b>전투의 함성:</b> 내 손에 있는 무작위 무기 하나에 +1/+1을 부여합니다.</",3,3,험악한 거리 전당포 주인,3
1,"right""><b>전투의 함성:</b> 사냥꾼,<br/>성기사, 전사 카드를<br/>1장 <b>발견</b>합니다.</",1,2,험악한 거리 정보통,3
4,"right"">내 턴이 끝날 때, 내 손에 있는 모든 하수인에게 +1/+1을 부여합니다.</",4,5,험악한 거리 집행자,3
4,"right"">내 턴이 끝날 때, 내 손에 있는 무작위 하수인 하나에게 +2/+2를 부여합니다.</",3,4,험악한 기계공,1
2,"right""><b>전투의 함성:</b> 내 손과<br/>덱에 있는 모든 무기에<br/>공격력을 +1 부여합니다.</",2,2,호바트 그래플해머,5
2,"right""><b>전투의 함성:</b><br/>하수인 하나의 생명력을<br/>모두 회복시킵니다.</",6,4,호젠 치유사,1
2,"right""><b>죽음의 메아리:</b><br/>각 영웅의 생명력을<br/>4씩 회복시킵니다.</",2,1,혼합물 전문가,1
