,attack,health,mana,name,rarity,desc_cut
35,1,3,1,살아 움직이는 광전사,1,"내가 하수인을 낸 후에,그 하수인에게피해를 1 줍니다."
36,3,4,3,서리 망령,1,"전투의 함성:빙결 상태인 적이 있으면,카드를 1장 뽑습니다."
37,2,6,4,섬뜩한 창조술사,3,전투의 함성: '환영 복제' 카드 1장을 내 손으로 가져옵니다.
38,4,6,5,시체 과부거미,3,내 죽음의 메아리 카드의 비용이 (2) 감소합니다.
39,1,4,4,시체 수레,4,죽음의 메아리:내 덱에서 이 하수인보다공격력이 낮은 하수인을하나 소환합니다.
40,3,3,5,시체생환사,3,전투의 함성: 아군 하수인하나에게 
41,3,3,4,시체수집가,4,"전투의 함성: 내 덱에 도발하수인이 있으면 도발을 얻습니다.천상의 보호막, 생명력 흡수, 질풍도동일하게 얻을 수 있습니다."
42,8,8,8,신드라고사,5,전투의 함성:01 얼어붙은 용사를2명 소환합니다.
43,3,2,4,싸늘칼날 용사,1,돌진생명력 흡수
44,4,6,8,썩은얼굴,5,이 하수인은 피해를 받고 생존할 때마다 무작위 전설 하수인을 하나 소환합니다.
45,2,2,4,아장아장거리는 해골,4,전투의 함성: 55 해골을 하나 소환합니다. 죽음의 메아리: 상대편에게 55 해골을 하나 소환해 줍니다.
46,2,1,1,아케루스 정예병,1,전투의 함성: 아군 하수인 하나에게 공격력을+1 부여합니다.
47,4,5,5,악랄한 공포의 군주,3,"내 턴이 끝날 때,모든 적 하수인에게피해를 1 줍니다."
48,2,2,2,암흑의 승천자,1,"내 턴이 끝날 때, 다른 무작위 아군 하수인 하나에게 +1+1을 부여합니다."
49,3,1,3,얕은 무덤 도굴꾼,3,죽음의 메아리:무작위 죽음의 메아리 하수인 하나를 내 손으로 가져옵니다.
50,2,2,2,얼록,1,전투의 함성: 적 하나를 빙결 상태로 만듭니다.
51,1,3,2,얼음방랑자,3,내 영웅 능력이 대상을 빙결 상태로도 만듭니다.
52,4,6,6,엄습하는 외눈깨비,4,전투의 함성:두 플레이어의 손과 덱에있는 비용이 1인 주문을모두 파괴합니다.
53,2,3,3,역병 과학자,1,연계: 아군 하수인 하나에게 독성을 부여합니다.
54,5,2,4,오만한 성전사,3,"죽음의 메아리: 상대편의 턴이면, 22 구울을 하나 소환합니다."
55,6,6,6,용광로화염 거수,4,전투의 함성: 내 손에 있는 모든 무기를 버리고 그 무기의 능력치를 얻습니다.
56,5,3,5,운명술사,4,죽음의 메아리 (비밀) 선택 
57,3,6,3,울부짖는 마귀,1,이 하수인이 피해를받을 때마다 무작위로카드를 1장 버립니다.
58,2,2,3,울부짖는 사령관,3,전투의 함성: 내 덱에서 천상의 보호막 하수인을 하나 뽑습니다.
59,5,5,6,유령 강탈자,4,연계: 이번 턴에앞서 낸 카드의 수만큼 피해를 줍니다.
60,3,3,4,유령 약탈자,3,전투의 함성:내 무기의 능력치를 얻습니다.
61,2,4,4,음산한 강령술사,1,전투의 함성:11 해골을 둘 소환합니다.
62,2,5,3,정신파괴자,3,두 플레이어 모두영웅 능력을 사용할 수 없습니다.
63,1,1,1,정의로운 수호자,1,도발천상의 보호막
64,4,4,6,주문직공,1,주문 공격력 +2
65,3,3,4,죽음도끼 응징자,4,전투의 함성: 내 손에 있는 무작위 생명력 흡수 하수인 하나에게 +2+2를 부여합니다.
66,1,1,1,죽음비늘 기사,1,생명력 흡수
67,2,4,3,죽음예언자,1,전투의 함성: 이번 턴에 아군 하수인 하나에게 면역을 부여합니다.
68,3,3,5,죽음의 망령,3,전투의 함성: 피해를 받은 하수인 하나당 +1+1을 얻습니다.
69,1,6,3,지하군주,1,"도발내 하수인이 소환된 후에,생명력을 +1 얻습니다."
70,5,6,4,째깍거리는 누더기골렘,3,죽음의 메아리:내 하수인들에게피해를 5 줍니다.
71,1,1,2,타락한 광신도,1,천상의 보호막주문 공격력 +1
72,2,1,2,타락한 태양 성직자,1,전투의 함성:아군 하수인 하나에게+1+1을 부여합니다.
73,5,4,5,태양의 자식 발키르,1,전투의 함성: 양옆의 하수인들에게 생명력을 +2 부여합니다.
74,5,5,4,통곡하는 밴시,3,내가 카드를 낼 때마다내 다음 카드 3장을 없앱니다.
75,2,3,2,투스카르 낚시꾼,1,전투의 함성:아군 하수인 하나에게 주문 공격력 +1을 부여합니다.
76,2,3,4,튼튼껍질 청소부,3,전투의 함성:내 도발 하수인들에게+2+2를 부여합니다.
77,3,2,3,파멸의 수습생,3,상대편의 주문의 비용이(1) 증가합니다.
78,2,1,4,폭발하는 팽창박쥐,3,죽음의 메아리:모든 적 하수인에게 피해를 2 줍니다.
79,5,5,5,푸른비늘혈족 맹독전사,1,"내 턴이 끝날 때,다른 무작위 아군 하수인 하나에게 공격력을 +3 부여합니다."
80,4,4,5,피구더기,1,생명력 흡수
81,1,6,5,피의 여왕 라나텔,5,생명력 흡수이번 게임에서 내가 버린카드 하나당 공격력을+1 얻습니다.
82,1,1,1,핏빛 하객,1,전투의 함성: 아군하수인 하나를 처치하고+2+2를 얻습니다.
83,3,7,9,하드로녹스,5,죽음의 메아리:이번 게임에서 죽은내 도발 하수인들을 소환합니다.
84,6,5,6,해골 비룡,3,죽음의 메아리:무작위 용족 하나를내 손으로 가져옵니다.
85,5,5,7,해골마,1,전투의 함성: 아군 하수인 하나에게 +4+4와 도발을 부여합니다.
86,2,2,5,해골술사,1,"죽음의 메아리:상대편의 턴이면,88 해골을 하나 소환합니다."
87,3,3,3,행복한 구울,3,"이번 턴에 내 영웅의 생명력이 회복되었으면, 비용이 (0)이 됩니다."
88,1,1,1,흉측한 농사꾼,1,이 하수인은 공격할 때마다 적 영웅에게 피해를 2 줍니다.
89,4,8,9,흑요석 석상,4,"도발, 생명력 흡수죽음의 메아리:무작위 적 하수인하나를 처치합니다."
90,4,4,3,힐드니르 서리기수,1,전투의 함성:내 다른 하수인들을빙결 상태로 만듭니다.
